OrderId,CustomerName,ProductName,Quantity,Price,CreatedAt,Status
6a292684-20b5-4de5-b46a-4a304f0b5086,Frank Thompson,Laptop,7,772.67,2025-06-04T20:46:16.495586033,PENDING
13c10023-b248-42d0-8c71-3cda5cf293ae,Alice Brown,Mouse,3,193.02,2025-06-04T20:46:16.495618195,PENDING
d9e904d1-3f34-40e4-829d-1febf4442672,Henry Clark,Smartphone,6,982.48,2025-06-04T20:46:16.495659724,PENDING
57f113a8-f2e9-4d09-88ec-c58ddfa498bf,Alice Brown,Mouse,7,945.33,2025-06-04T20:46:16.495689381,PENDING
c86e92be-44f9-4f13-8718-014c794ee393,Henry Clark,Monitor,10,929.97,2025-06-04T20:46:16.495731066,PENDING
4e9ba1c6-4ff4-4246-9054-ffe98607a0bf,Diana Davis,Charger,5,937.55,2025-06-04T20:46:16.495773182,PENDING
14dd0ae6-1992-44c0-ad76-b7b0423c8bdb,Henry Clark,Keyboard,7,225.02,2025-06-04T20:46:16.495834600,PENDING
62d8b835-9e80-40a9-837e-4184bdc3eaf3,Alice Brown,Charger,9,936.81,2025-06-04T20:46:16.495868102,PENDING
ce5b71eb-31fa-40f9-a082-9f3c9ac1fb67,Bob Johnson,Keyboard,7,79.17,2025-06-04T20:46:16.495914433,PENDING
588ad36a-e89e-42e1-9864-c1af065bcf38,Eve Miller,Tablet,7,42.35,2025-06-04T20:46:16.495968156,PENDING
b5b65d05-a2bb-4f5b-836c-6c9ded501501,Frank Thompson,Charger,4,70.74,2025-06-04T20:46:16.495998644,PENDING
9b00877f-827c-4a14-a4dc-e417f333e225,Alice Brown,Mouse,10,601.32,2025-06-04T20:46:16.496044401,PENDING
2b294a6d-2f03-455e-bcaf-76ead9e03ce4,Jane Doe,Keyboard,3,76.17,2025-06-04T20:46:16.496075241,PENDING
