OrderId,CustomerName,ProductName,Quantity,Price,CreatedAt,Status
f4b89645-e716-445e-996a-2f7103da4506,Eve Miller,Monitor,1,598.51,2025-06-04T20:46:01.500182540,PENDING
3e89167b-26b2-4898-bd2a-eb153f6be9e3,Frank Thompson,Charger,1,84.54,2025-06-04T20:46:01.500222933,PENDING
b624d202-aa8c-49f6-9127-e2abe6861c90,Jane Doe,Headphones,4,380.24,2025-06-04T20:46:01.500269332,PENDING
94cc57c0-ddb0-45d9-9db8-88c0bb01a923,Diana Davis,Laptop,9,505.93,2025-06-04T20:46:01.500316352,PENDING
f2cf9c14-3a22-408c-a66d-bc7a2326656b,Grace Lee,Tablet,3,867.49,2025-06-04T20:46:01.500348626,PENDING
499b1833-36a1-4334-9b9b-55902950cb89,Bob Johnson,Webcam,5,433.61,2025-06-04T20:46:01.500396492,PENDING
ff009b49-4863-4ff7-9732-b080dd21d7cc,Charlie Wilson,Headphones,6,843.14,2025-06-04T20:46:01.500429253,PENDING
add427eb-e7dd-4610-834e-e32c99457460,Alice Brown,Tablet,4,991.47,2025-06-04T20:46:01.500479452,PENDING
9c0e20c5-3065-4adc-8760-e5bd6524bed3,Frank Thompson,Monitor,8,587.75,2025-06-04T20:46:01.500526062,PENDING
49019a65-1134-4ca5-8b56-df2135cc93d1,John Smith,Speaker,5,691.13,2025-06-04T20:46:01.500558751,PENDING
cc77b771-396c-458b-80ed-f27281e06a27,Alice Brown,Speaker,1,608.25,2025-06-04T20:46:01.500605038,PENDING
01787463-fbc5-4b1f-9bb9-d52b3a5983ae,Diana Davis,Webcam,3,948.01,2025-06-04T20:46:01.500638168,PENDING
d0fc9f1a-0d89-43da-aa76-0f6f00963c5e,Diana Davis,Monitor,6,626.37,2025-06-04T20:46:01.500695622,PENDING
b3b3e645-4f77-4343-96f4-b3c164c0acd2,Frank Thompson,Keyboard,3,495.86,2025-06-04T20:46:01.500765676,PENDING
